acc_x,acc_y,acc_z
-2,-12,990
-2,-12,992
0,-12,992
-1,-12,993
-1,-10,994
-2,-11,991
-2,-10,992
-2,-10,991
-1,-9,994
0,-11,992
0,-14,992
0,-13,993
-2,-12,993
-2,-10,993
-3,-10,994
-2,-10,993
-1,-10,993
0,-12,992
0,-12,995
0,-11,993
0,-10,994
0,-11,993
0,-12,993
-3,-11,994
-5,-11,994
-5,-12,992
-2,-13,994
0,-14,993
1,-12,993
0,-11,993
0,-10,993
0,-10,994
-1,-10,992
-2,-10,993
-3,-10,993
0,-11,994
0,-13,995
0,-14,994
-3,-12,992
-5,-11,993
-5,-10,994
62,-102,989
478,19,978
26,-109,1020
-374,-90,994
-166,137,975
-44,164,1007
-86,291,977
-127,61,1018
-63,-72,968
18,-147,1016
101,-143,976
129,-126,982
41,-29,1003
3,-14,987
191,8,992
233,56,980
71,-63,1006
-65,-142,991
-66,-83,989
-12,-20,982
48,-42,996
107,-7,993
85,40,988
25,27,995
-116,30,994
-330,-49,983
-261,5,983
-259,182,993
-24,156,993
14,91,995
132,-359,980
-13,-488,1011
56,-18,1014
55,61,1031
19,89,1021
50,-22,1009
66,23,1106
112,60,1163
116,63,1272
125,17,1279
110,30,1176
68,-34,1071
-48,-18,991
-28,-13,878
-144,-81,868
-121,-42,899
-160,-56,910
-122,-141,1048
-131,-60,992
-216,11,944
-263,-61,765
-291,-78,757
-285,-191,857
-289,-95,853
-232,-117,876
-238,-104,1007
-260,-66,1012
-306,-31,840
-290,-61,827
-286,-2,813
-295,39,866
-278,68,944
-286,104,952
-301,118,833
-290,173,781
-256,199,824
-251,117,969
-263,206,823
-263,295,940
-246,69,1051
-179,85,1064
-193,102,1072
-224,25,1128
-166,-87,1155
-92,-261,1210
-51,-269,1102
-105,-129,916
-192,48,961
-267,197,997
-273,189,950
-249,215,947
-301,294,880
-357,314,757
-337,319,768
-302,278,783
-238,247,879
-258,277,835
-262,277,850
-301,300,812
-306,319,788
-274,331,837
-225,305,891
-207,327,932
-183,360,958
-194,363,948
-192,350,915
-201,360,835
-204,391,771
-176,407,826
-122,389,938
-47,318,1000
-36,281,1041
-74,259,955
-104,325,900
-99,330,951
-91,308,960
-97,305,935
-74,301,941
-20,284,868
12,270,1207
16,366,1211
-28,366,956
-60,289,796
-89,294,796
-42,234,894
-18,211,1027
-54,219,999
-134,244,1009
-127,203,1035
-110,228,1084
-89,158,1036
-30,145,937
