acc_x,acc_y,acc_z
0,-12,993
-2,-13,992
-4,-13,993
-4,-13,994
-4,-14,993
-2,-15,992
-2,-13,993
-1,-13,993
0,-12,992
1,-13,992
1,-11,993
0,-9,994
-4,-8,994
-1,-13,992
-2,-14,993
-2,-15,993
61,152,999
444,710,1014
327,561,937
-485,-1211,1359
-526,-896,1780
-41,-53,1551
-7,-253,1166
3,-128,1053
40,160,1060
-63,-117,948
-79,-290,906
-71,-355,1010
-109,-378,877
-109,-319,832
-149,-300,725
-43,-255,699
-207,-263,624
-245,-295,520
-199,-329,883
-225,-194,1023
-172,-194,914
-167,-215,834
-173,-153,801
-198,33,933
-173,7,1037
-178,-50,1014
-172,-13,1019
-173,50,1061
-178,155,1094
-188,153,1080
-180,157,1081
-218,137,1142
-228,212,1163
-246,191,1082
-259,160,1051
-268,92,1085
-288,75,1148
-291,192,1214
-253,232,1145
-271,221,955
-359,19,776
-377,-197,687
-421,-197,798
-427,-387,902
-355,-443,803
-302,-455,821
-286,-517,782
-258,-584,744
-341,-623,612
-345,-602,429
-371,-590,480
-333,-660,455
-283,-682,506
-251,-589,605
-326,-549,762
-367,-568,700
-338,-473,589
-282,-381,601
-245,-333,756
-209,-392,820
-213,-376,837
-192,-336,797
-180,-274,675
-128,-171,700
-151,-156,884
-87,-115,1115
-89,46,1205
-92,80,1075
-119,127,922
-103,166,947
-96,185,997
-84,194,1061
-102,223,1037
-99,242,964
-119,241,944
-100,236,993
-82,242,1002
-102,219,961
-115,244,922
-107,252,912
-144,212,836
-71,224,1021
-60,106,1116
-87,119,1088
-80,164,987
-65,111,1040
-88,9,1117
-105,-37,1066
-160,-98,974
-178,-153,936
-209,-153,874
-200,-202,906
-200,-301,945
-212,-340,991
-235,-363,976
-240,-379,906
-244,-373,869
-262,-416,821
-255,-447,855
-226,-471,914
-244,-479,910
-286,-452,831
-307,-435,745
-266,-438,784
-266,-472,833
-243,-475,875
-231,-491,857
-181,-498,813
-256,-453,828
-262,-449,851
-229,-457,850
-236,-452,848
-223,-453,845
-259,-399,883
-237,-434,915
-316,-359,839
-210,-384,819
-219,-401,807
-219,-447,810
-238,-450,840
-192,-403,845
-128,-342,649
-287,-361,672
-285,-305,1025
-255,-265,1170
-279,-291,1043
-313,-360,887
-173,-365,825
-159,-418,900
-301,-371,1010
-310,-221,1051
-290,-168,1000
-275,-167,884
-250,-166,815
-186,-201,836
-289,-177,829
-345,-128,965
-399,-66,1044
-301,-145,947
-227,-73,878
-274,-31,926
-282,-26,915
-169,94,986
-186,151,966
-214,151,896
-248,151,909
-150,146,1010
-134,101,1008
-123,159,950
-137,164,915
-148,156,999
-138,122,1065
-87,37,1101
-201,141,1218
-119,28,1090
-94,21,1087
-54,-4,1028
-25,31,996
-16,94,1012
4,141,992
10,170,1010
-7,177,1037
-7,131,1077
28,95,1059
73,186,1154
51,-9,1031
29,-117,961
-13,-209,980
37,11,1033
63,130,1174
78,-82,1123
35,-104,947
-42,-138,915
81,-54,900
31,-3,1007
41,-65,974
-22,-269,883
-55,-496,811
-94,-602,746
-121,-693,598
-140,-684,550
-183,-754,555
-245,-763,773
-234,-751,756
-228,-735,813
-195,-776,680
-175,-610,684
-196,-711,622
-242,-814,677
-223,-696,878
-172,-540,757
-146,-530,727
-192,-668,691
-230,-761,731
-189,-599,761
-173,-439,834
-91,-286,991
-55,-300,760
-58,-270,724
18,-4,842
-15,113,1134
-78,-115,1080
-40,-198,961
-89,-203,971
-117,-5,1054
-102,68,983
-132,-58,1028
-103,-106,1052
-157,-50,1058
-180,-13,1104
-204,-16,1137
-324,-121,1162
-131,23,1132
-37,-19,941
-43,0,951
-71,20,1010
-118,61,1125
-50,94,1064
50,186,954
41,208,927
33,230,987
59,194,994
77,291,975
6,342,1031
-26,362,989
47,514,885
-30,366,874
-54,258,913
-81,267,957
-114,224,1088
-115,261,1113
-118,306,1118
-42,312,1018
4,246,581
31,201,676
-45,113,742
-137,58,958
-158,111,1034
-50,29,794
41,125,781
-54,134,884
-21,193,883
-35,201,941
-79,177,1088
-59,154,1193
-10,168,1119
49,188,987
61,162,922
55,129,949
45,97,1020
75,46,1053
98,-25,1029
111,-57,1023
99,-59,1021
93,-46,1028
59,-42,1020
57,-48,1031
71,-72,1061
67,-90,1038
68,-135,926
57,-165,915
57,-185,969
60,-192,1011
67,-200,1006
70,-201,961
78,-198,941
58,-201,939
60,-228,979
51,-238,1005
47,-243,1016
43,-244,996
32,-229,1029
-3,-212,1045
-8,-220,962
-56,-217,945
-44,-268,969
-41,-278,1000
-42,-303,965
-64,-311,960
-82,-303,945
-98,-301,941
-103,-296,942
-109,-294,922
-117,-292,896
-131,-287,879
-142,-301,897
-148,-313,925
-145,-306,919
-134,-296,899
-137,-307,896
-158,-337,933
-164,-332,975
-145,-325,933
-130,-274,885
-105,-251,849
-99,-310,835
-103,-387,904
-135,-372,1014
-123,-359,1046
-100,-327,998
-88,-283,929
-72,-295,855
-66,-306,885
-76,-243,952
-66,-177,911
-47,-113,909
-46,-86,1007
-38,-83,1018
-26,-81,1036
-23,-78,1041
-9,-29,1001
24,22,919
57,62,821
60,79,813
74,68,846
107,53,858
140,29,856
175,-20,834
199,-29,874
233,-38,923
250,-28,1051
271,4,1163
313,27,1184
363,41,1167
418,24,1110
464,-12,1043
497,-37,1007
508,-54,1003
504,-55,1020
499,-54,1032
497,-60,1028
490,-85,1035
483,-89,1015
473,-78,966
452,-84,872
422,-130,886
409,-193,920
397,-202,922
371,-171,905
342,-121,903
335,-111,850
304,-115,844
300,-158,875
300,-218,915
290,-240,968
280,-230,961
278,-212,934
268,-202,914
