acc_x_0,acc_x_1,acc_x_2,acc_x_3,acc_x_4,acc_x_5,acc_x_6,acc_x_7,acc_x_8,acc_x_9,acc_x_10,acc_x_11,acc_x_12,acc_x_13,acc_x_14,acc_x_15,acc_x_16,acc_x_17,acc_x_18,acc_x_19,acc_x_20,acc_x_21,acc_x_22,acc_x_23,acc_x_24,acc_x_25,acc_x_26,acc_x_27,acc_x_28,acc_x_29,acc_x_30,acc_x_31,acc_x_32,acc_x_33,acc_x_34,acc_x_35,acc_x_36,acc_x_37,acc_x_38,acc_x_39,acc_x_40,acc_x_41,acc_x_42,acc_x_43,acc_x_44,acc_x_45,acc_x_46,acc_x_47,acc_y_0,acc_y_1,acc_y_2,acc_y_3,acc_y_4,acc_y_5,acc_y_6,acc_y_7,acc_y_8,acc_y_9,acc_y_10,acc_y_11,acc_y_12,acc_y_13,acc_y_14,acc_y_15,acc_y_16,acc_y_17,acc_y_18,acc_y_19,acc_y_20,acc_y_21,acc_y_22,acc_y_23,acc_y_24,acc_y_25,acc_y_26,acc_y_27,acc_y_28,acc_y_29,acc_y_30,acc_y_31,acc_y_32,acc_y_33,acc_y_34,acc_y_35,acc_y_36,acc_y_37,acc_y_38,acc_y_39,acc_y_40,acc_y_41,acc_y_42,acc_y_43,acc_y_44,acc_y_45,acc_y_46,acc_y_47,acc_z_0,acc_z_1,acc_z_2,acc_z_3,acc_z_4,acc_z_5,acc_z_6,acc_z_7,acc_z_8,acc_z_9,acc_z_10,acc_z_11,acc_z_12,acc_z_13,acc_z_14,acc_z_15,acc_z_16,acc_z_17,acc_z_18,acc_z_19,acc_z_20,acc_z_21,acc_z_22,acc_z_23,acc_z_24,acc_z_25,acc_z_26,acc_z_27,acc_z_28,acc_z_29,acc_z_30,acc_z_31,acc_z_32,acc_z_33,acc_z_34,acc_z_35,acc_z_36,acc_z_37,acc_z_38,acc_z_39,acc_z_40,acc_z_41,acc_z_42,acc_z_43,acc_z_44,acc_z_45,acc_z_46,acc_z_47,val
-0.0625,-0.09375,-0.15625,-0.15625,-0.15625,-0.125,-0.09375,-0.03125,0.0,0.03125,0.0,0.03125,0.0,-0.09375,-0.125,-0.125,-0.09375,-0.09375,0.125,4.0625,5.28125,-10.4375,-4.375,-2.9375,-3.5,-5.65625,-9.78125,-9.0625,-8.75,-8.09375,-5.09375,-6.65625,-9.8125,-11.25,-10.03125,-11.0625,-10.40625,-9.4375,-9.40625,-9.34375,-9.96875,-8.59375,-6.65625,-5.90625,-6.6875,-5.9375,-6.84375,-5.84375,-0.3125,-0.25,-0.375,-0.375,-0.46875,-0.5,-0.46875,-0.4375,-0.34375,-0.28125,-0.25,-0.25,-0.34375,-0.40625,-0.46875,-0.46875,-0.46875,-0.375,-0.4375,-9.15625,-20.09375,-2.1875,11.9375,8.6875,-1.21875,-3.875,-1.875,1.0,-0.46875,-2.0,-0.21875,-3.375,-7.71875,-8.75,-8.0625,-7.65625,-6.5,-6.4375,-10.8125,-11.71875,-7.5625,-5.59375,-2.28125,-0.25,0.71875,1.1875,-1.9375,-2.4375,30.90625,31.09375,31.0,31.09375,31.0625,31.0625,31.0,31.0,31.09375,31.03125,30.96875,31.09375,31.0625,31.0625,31.0625,31.125,31.03125,30.8125,31.3125,31.09375,33.6875,40.71875,46.53125,44.21875,33.28125,34.375,39.5,39.40625,37.15625,33.3125,23.59375,21.125,24.25,26.09375,23.3125,23.9375,21.96875,18.90625,17.34375,22.25,30.34375,28.96875,27.25,27.40625,29.53125,34.9375,38.59375,36.03125,1.0
-0.09375,-0.15625,-0.15625,-0.15625,-0.125,-0.09375,-0.03125,0.0,0.03125,0.0,0.03125,0.0,-0.09375,-0.125,-0.125,-0.09375,-0.09375,0.125,4.0625,5.28125,-10.4375,-4.375,-2.9375,-3.5,-5.65625,-9.78125,-9.0625,-8.75,-8.09375,-5.09375,-6.65625,-9.8125,-11.25,-10.03125,-11.0625,-10.40625,-9.4375,-9.40625,-9.34375,-9.96875,-8.59375,-6.65625,-5.90625,-6.6875,-5.9375,-6.84375,-5.84375,-4.53125,-0.25,-0.375,-0.375,-0.46875,-0.5,-0.46875,-0.4375,-0.34375,-0.28125,-0.25,-0.25,-0.34375,-0.40625,-0.46875,-0.46875,-0.46875,-0.375,-0.4375,-9.15625,-20.09375,-2.1875,11.9375,8.6875,-1.21875,-3.875,-1.875,1.0,-0.46875,-2.0,-0.21875,-3.375,-7.71875,-8.75,-8.0625,-7.65625,-6.5,-6.4375,-10.8125,-11.71875,-7.5625,-5.59375,-2.28125,-0.25,0.71875,1.1875,-1.9375,-2.4375,2.65625,31.09375,31.0,31.09375,31.0625,31.0625,31.0,31.0,31.09375,31.03125,30.96875,31.09375,31.0625,31.0625,31.0625,31.125,31.03125,30.8125,31.3125,31.09375,33.6875,40.71875,46.53125,44.21875,33.28125,34.375,39.5,39.40625,37.15625,33.3125,23.59375,21.125,24.25,26.09375,23.3125,23.9375,21.96875,18.90625,17.34375,22.25,30.34375,28.96875,27.25,27.40625,29.53125,34.9375,38.59375,36.03125,34.59375,1.0
-0.15625,-0.15625,-0.15625,-0.125,-0.09375,-0.03125,0.0,0.03125,0.0,0.03125,0.0,-0.09375,-0.125,-0.125,-0.09375,-0.09375,0.125,4.0625,5.28125,-10.4375,-4.375,-2.9375,-3.5,-5.65625,-9.78125,-9.0625,-8.75,-8.09375,-5.09375,-6.65625,-9.8125,-11.25,-10.03125,-11.0625,-10.40625,-9.4375,-9.40625,-9.34375,-9.96875,-8.59375,-6.65625,-5.90625,-6.6875,-5.9375,-6.84375,-5.84375,-4.53125,-4.21875,-0.375,-0.375,-0.46875,-0.5,-0.46875,-0.4375,-0.34375,-0.28125,-0.25,-0.25,-0.34375,-0.40625,-0.46875,-0.46875,-0.46875,-0.375,-0.4375,-9.15625,-20.09375,-2.1875,11.9375,8.6875,-1.21875,-3.875,-1.875,1.0,-0.46875,-2.0,-0.21875,-3.375,-7.71875,-8.75,-8.0625,-7.65625,-6.5,-6.4375,-10.8125,-11.71875,-7.5625,-5.59375,-2.28125,-0.25,0.71875,1.1875,-1.9375,-2.4375,2.65625,4.5625,31.0,31.09375,31.0625,31.0625,31.0,31.0,31.09375,31.03125,30.96875,31.09375,31.0625,31.0625,31.0625,31.125,31.03125,30.8125,31.3125,31.09375,33.6875,40.71875,46.53125,44.21875,33.28125,34.375,39.5,39.40625,37.15625,33.3125,23.59375,21.125,24.25,26.09375,23.3125,23.9375,21.96875,18.90625,17.34375,22.25,30.34375,28.96875,27.25,27.40625,29.53125,34.9375,38.59375,36.03125,34.59375,35.625,1.0
-0.15625,-0.15625,-0.125,-0.09375,-0.03125,0.0,0.03125,0.0,0.03125,0.0,-0.09375,-0.125,-0.125,-0.09375,-0.09375,0.125,4.0625,5.28125,-10.4375,-4.375,-2.9375,-3.5,-5.65625,-9.78125,-9.0625,-8.75,-8.09375,-5.09375,-6.65625,-9.8125,-11.25,-10.03125,-11.0625,-10.40625,-9.4375,-9.40625,-9.34375,-9.96875,-8.59375,-6.65625,-5.90625,-6.6875,-5.9375,-6.84375,-5.84375,-4.53125,-4.21875,-3.25,-0.375,-0.46875,-0.5,-0.46875,-0.4375,-0.34375,-0.28125,-0.25,-0.25,-0.34375,-0.40625,-0.46875,-0.46875,-0.46875,-0.375,-0.4375,-9.15625,-20.09375,-2.1875,11.9375,8.6875,-1.21875,-3.875,-1.875,1.0,-0.46875,-2.0,-0.21875,-3.375,-7.71875,-8.75,-8.0625,-7.65625,-6.5,-6.4375,-10.8125,-11.71875,-7.5625,-5.59375,-2.28125,-0.25,0.71875,1.1875,-1.9375,-2.4375,2.65625,4.5625,4.25,31.09375,31.0625,31.0625,31.0,31.0,31.09375,31.03125,30.96875,31.09375,31.0625,31.0625,31.0625,31.125,31.03125,30.8125,31.3125,31.09375,33.6875,40.71875,46.53125,44.21875,33.28125,34.375,39.5,39.40625,37.15625,33.3125,23.59375,21.125,24.25,26.09375,23.3125,23.9375,21.96875,18.90625,17.34375,22.25,30.34375,28.96875,27.25,27.40625,29.53125,34.9375,38.59375,36.03125,34.59375,35.625,35.53125,1.0
-0.15625,-0.125,-0.09375,-0.03125,0.0,0.03125,0.0,0.03125,0.0,-0.09375,-0.125,-0.125,-0.09375,-0.09375,0.125,4.0625,5.28125,-10.4375,-4.375,-2.9375,-3.5,-5.65625,-9.78125,-9.0625,-8.75,-8.09375,-5.09375,-6.65625,-9.8125,-11.25,-10.03125,-11.0625,-10.40625,-9.4375,-9.40625,-9.34375,-9.96875,-8.59375,-6.65625,-5.90625,-6.6875,-5.9375,-6.84375,-5.84375,-4.53125,-4.21875,-3.25,-3.25,-0.46875,-0.5,-0.46875,-0.4375,-0.34375,-0.28125,-0.25,-0.25,-0.34375,-0.40625,-0.46875,-0.46875,-0.46875,-0.375,-0.4375,-9.15625,-20.09375,-2.1875,11.9375,8.6875,-1.21875,-3.875,-1.875,1.0,-0.46875,-2.0,-0.21875,-3.375,-7.71875,-8.75,-8.0625,-7.65625,-6.5,-6.4375,-10.8125,-11.71875,-7.5625,-5.59375,-2.28125,-0.25,0.71875,1.1875,-1.9375,-2.4375,2.65625,4.5625,4.25,6.34375,31.0625,31.0625,31.0,31.0,31.09375,31.03125,30.96875,31.09375,31.0625,31.0625,31.0625,31.125,31.03125,30.8125,31.3125,31.09375,33.6875,40.71875,46.53125,44.21875,33.28125,34.375,39.5,39.40625,37.15625,33.3125,23.59375,21.125,24.25,26.09375,23.3125,23.9375,21.96875,18.90625,17.34375,22.25,30.34375,28.96875,27.25,27.40625,29.53125,34.9375,38.59375,36.03125,34.59375,35.625,35.53125,40.59375,1.0
-0.125,-0.09375,-0.03125,0.0,0.03125,0.0,0.03125,0.0,-0.09375,-0.125,-0.125,-0.09375,-0.09375,0.125,4.0625,5.28125,-10.4375,-4.375,-2.9375,-3.5,-5.65625,-9.78125,-9.0625,-8.75,-8.09375,-5.09375,-6.65625,-9.8125,-11.25,-10.03125,-11.0625,-10.40625,-9.4375,-9.40625,-9.34375,-9.96875,-8.59375,-6.65625,-5.90625,-6.6875,-5.9375,-6.84375,-5.84375,-4.53125,-4.21875,-3.25,-3.25,1.03125,-0.5,-0.46875,-0.4375,-0.34375,-0.28125,-0.25,-0.25,-0.34375,-0.40625,-0.46875,-0.46875,-0.46875,-0.375,-0.4375,-9.15625,-20.09375,-2.1875,11.9375,8.6875,-1.21875,-3.875,-1.875,1.0,-0.46875,-2.0,-0.21875,-3.375,-7.71875,-8.75,-8.0625,-7.65625,-6.5,-6.4375,-10.8125,-11.71875,-7.5625,-5.59375,-2.28125,-0.25,0.71875,1.1875,-1.9375,-2.4375,2.65625,4.5625,4.25,6.34375,5.84375,31.0625,31.0,31.0,31.09375,31.03125,30.96875,31.09375,31.0625,31.0625,31.0625,31.125,31.03125,30.8125,31.3125,31.09375,33.6875,40.71875,46.53125,44.21875,33.28125,34.375,39.5,39.40625,37.15625,33.3125,23.59375,21.125,24.25,26.09375,23.3125,23.9375,21.96875,18.90625,17.34375,22.25,30.34375,28.96875,27.25,27.40625,29.53125,34.9375,38.59375,36.03125,34.59375,35.625,35.53125,40.59375,36.09375,1.0
-0.09375,-0.03125,0.0,0.03125,0.0,0.03125,0.0,-0.09375,-0.125,-0.125,-0.09375,-0.09375,0.125,4.0625,5.28125,-10.4375,-4.375,-2.9375,-3.5,-5.65625,-9.78125,-9.0625,-8.75,-8.09375,-5.09375,-6.65625,-9.8125,-11.25,-10.03125,-11.0625,-10.40625,-9.4375,-9.40625,-9.34375,-9.96875,-8.59375,-6.65625,-5.90625,-6.6875,-5.9375,-6.84375,-5.84375,-4.53125,-4.21875,-3.25,-3.25,1.03125,-1.03125,-0.46875,-0.4375,-0.34375,-0.28125,-0.25,-0.25,-0.34375,-0.40625,-0.46875,-0.46875,-0.46875,-0.375,-0.4375,-9.15625,-20.09375,-2.1875,11.9375,8.6875,-1.21875,-3.875,-1.875,1.0,-0.46875,-2.0,-0.21875,-3.375,-7.71875,-8.75,-8.0625,-7.65625,-6.5,-6.4375,-10.8125,-11.71875,-7.5625,-5.59375,-2.28125,-0.25,0.71875,1.1875,-1.9375,-2.4375,2.65625,4.5625,4.25,6.34375,5.84375,0.46875,31.0,31.0,31.09375,31.03125,30.96875,31.09375,31.0625,31.0625,31.0625,31.125,31.03125,30.8125,31.3125,31.09375,33.6875,40.71875,46.53125,44.21875,33.28125,34.375,39.5,39.40625,37.15625,33.3125,23.59375,21.125,24.25,26.09375,23.3125,23.9375,21.96875,18.90625,17.34375,22.25,30.34375,28.96875,27.25,27.40625,29.53125,34.9375,38.59375,36.03125,34.59375,35.625,35.53125,40.59375,36.09375,25.875,1.0
-0.03125,0.0,0.03125,0.0,0.03125,0.0,-0.09375,-0.125,-0.125,-0.09375,-0.09375,0.125,4.0625,5.28125,-10.4375,-4.375,-2.9375,-3.5,-5.65625,-9.78125,-9.0625,-8.75,-8.09375,-5.09375,-6.65625,-9.8125,-11.25,-10.03125,-11.0625,-10.40625,-9.4375,-9.40625,-9.34375,-9.96875,-8.59375,-6.65625,-5.90625,-6.6875,-5.9375,-6.84375,-5.84375,-4.53125,-4.21875,-3.25,-3.25,1.03125,-1.03125,-6.09375,-0.4375,-0.34375,-0.28125,-0.25,-0.25,-0.34375,-0.40625,-0.46875,-0.46875,-0.46875,-0.375,-0.4375,-9.15625,-20.09375,-2.1875,11.9375,8.6875,-1.21875,-3.875,-1.875,1.0,-0.46875,-2.0,-0.21875,-3.375,-7.71875,-8.75,-8.0625,-7.65625,-6.5,-6.4375,-10.8125,-11.71875,-7.5625,-5.59375,-2.28125,-0.25,0.71875,1.1875,-1.9375,-2.4375,2.65625,4.5625,4.25,6.34375,5.84375,0.46875,-5.4375,31.0,31.09375,31.03125,30.96875,31.09375,31.0625,31.0625,31.0625,31.125,31.03125,30.8125,31.3125,31.09375,33.6875,40.71875,46.53125,44.21875,33.28125,34.375,39.5,39.40625,37.15625,33.3125,23.59375,21.125,24.25,26.09375,23.3125,23.9375,21.96875,18.90625,17.34375,22.25,30.34375,28.96875,27.25,27.40625,29.53125,34.9375,38.59375,36.03125,34.59375,35.625,35.53125,40.59375,36.09375,25.875,18.53125,1.0
0.0,0.03125,0.0,0.03125,0.0,-0.09375,-0.125,-0.125,-0.09375,-0.09375,0.125,4.0625,5.28125,-10.4375,-4.375,-2.9375,-3.5,-5.65625,-9.78125,-9.0625,-8.75,-8.09375,-5.09375,-6.65625,-9.8125,-11.25,-10.03125,-11.0625,-10.40625,-9.4375,-9.40625,-9.34375,-9.96875,-8.59375,-6.65625,-5.90625,-6.6875,-5.9375,-6.84375,-5.84375,-4.53125,-4.21875,-3.25,-3.25,1.03125,-1.03125,-6.09375,-10.84375,-0.34375,-0.28125,-0.25,-0.25,-0.34375,-0.40625,-0.46875,-0.46875,-0.46875,-0.375,-0.4375,-9.15625,-20.09375,-2.1875,11.9375,8.6875,-1.21875,-3.875,-1.875,1.0,-0.46875,-2.0,-0.21875,-3.375,-7.71875,-8.75,-8.0625,-7.65625,-6.5,-6.4375,-10.8125,-11.71875,-7.5625,-5.59375,-2.28125,-0.25,0.71875,1.1875,-1.9375,-2.4375,2.65625,4.5625,4.25,6.34375,5.84375,0.46875,-5.4375,-8.5625,31.09375,31.03125,30.96875,31.09375,31.0625,31.0625,31.0625,31.125,31.03125,30.8125,31.3125,31.09375,33.6875,40.71875,46.53125,44.21875,33.28125,34.375,39.5,39.40625,37.15625,33.3125,23.59375,21.125,24.25,26.09375,23.3125,23.9375,21.96875,18.90625,17.34375,22.25,30.34375,28.96875,27.25,27.40625,29.53125,34.9375,38.59375,36.03125,34.59375,35.625,35.53125,40.59375,36.09375,25.875,18.53125,9.375,1.0
0.03125,0.0,0.03125,0.0,-0.09375,-0.125,-0.125,-0.09375,-0.09375,0.125,4.0625,5.28125,-10.4375,-4.375,-2.9375,-3.5,-5.65625,-9.78125,-9.0625,-8.75,-8.09375,-5.09375,-6.65625,-9.8125,-11.25,-10.03125,-11.0625,-10.40625,-9.4375,-9.40625,-9.34375,-9.96875,-8.59375,-6.65625,-5.90625,-6.6875,-5.9375,-6.84375,-5.84375,-4.53125,-4.21875,-3.25,-3.25,1.03125,-1.03125,-6.09375,-10.84375,-9.3125,-0.28125,-0.25,-0.25,-0.34375,-0.40625,-0.46875,-0.46875,-0.46875,-0.375,-0.4375,-9.15625,-20.09375,-2.1875,11.9375,8.6875,-1.21875,-3.875,-1.875,1.0,-0.46875,-2.0,-0.21875,-3.375,-7.71875,-8.75,-8.0625,-7.65625,-6.5,-6.4375,-10.8125,-11.71875,-7.5625,-5.59375,-2.28125,-0.25,0.71875,1.1875,-1.9375,-2.4375,2.65625,4.5625,4.25,6.34375,5.84375,0.46875,-5.4375,-8.5625,0.40625,31.03125,30.96875,31.09375,31.0625,31.0625,31.0625,31.125,31.03125,30.8125,31.3125,31.09375,33.6875,40.71875,46.53125,44.21875,33.28125,34.375,39.5,39.40625,37.15625,33.3125,23.59375,21.125,24.25,26.09375,23.3125,23.9375,21.96875,18.90625,17.34375,22.25,30.34375,28.96875,27.25,27.40625,29.53125,34.9375,38.59375,36.03125,34.59375,35.625,35.53125,40.59375,36.09375,25.875,18.53125,9.375,9.0625,1.0
