acc_x,acc_y,acc_z
0,-10,993
-2,-10,989
-3,-8,995
-5,-12,992
-5,-12,995
-5,-15,994
-4,-16,994
-3,-15,992
-1,-14,992
0,-11,995
1,-9,993
0,-8,991
1,-8,995
0,-11,994
-3,-13,994
-4,-15,994
-4,-15,996
-3,-15,993
-3,-12,986
4,-14,1002
130,-293,995
169,-643,1078
-334,-70,1303
-140,382,1489
-94,278,1415
-112,-39,1065
-181,-124,1100
-313,-60,1264
-290,32,1261
-280,-15,1189
-259,-64,1066
-163,-7,755
-213,-108,676
-314,-247,776
-360,-280,835
-321,-258,746
-354,-245,766
-333,-208,703
-302,-206,605
-301,-346,555
-299,-375,712
-319,-242,971
-275,-179,927
-213,-73,872
-189,-8,877
-214,23,945
-190,38,1118
-219,-62,1235
-187,-78,1153
-145,85,1107
-135,146,1140
-104,136,1137
-104,203,1299
33,187,1155
-33,15,828
-195,-174,593
-347,-274,300
-298,13,290
-203,181,237
-84,123,709
22,80,1417
-92,-371,1580
-64,-444,1790
-48,-188,1541
14,258,1142
-59,409,874
-140,548,752
-254,369,189
-184,265,297
-53,-62,918
-100,-541,1968
-209,-768,1797
-69,-292,1625
-46,93,1301
-121,1155,1082
-172,695,618
-198,191,15
-232,-153,326
-230,-708,1377
-156,-800,1765
-126,-405,1689
62,32,1255
-140,729,1367
-266,957,301
-196,472,382
-139,18,509
-175,-635,1209
-196,-987,1708
-233,-510,1663
-72,-228,865
-191,87,962
-280,377,732
-257,272,469
-224,-277,486
-173,-644,985
-144,-708,1750
70,-329,1666
5,114,1363
-122,522,1577
-149,627,989
-30,364,271
-140,-76,628
-108,-621,935
-107,-763,1248
-158,-627,1451
-41,-572,1065
-226,68,1055
-259,409,358
-244,43,559
-195,-284,643
-261,-566,1061
-168,-337,1250
-26,265,1304
-113,212,1133
-240,152,921
-193,-1,902
0,94,1236
268,10,1483
150,-290,1190
143,-192,856
205,118,482
-14,-243,483
96,-190,1310
-137,348,961
-312,77,832
-247,-29,793
141,-201,1198
240,-494,1565
-29,111,1784
122,299,1212
86,350,1198
-396,559,641
-436,105,-575
-142,-168,-179
-64,-134,1048
-20,-488,1990
-23,-745,1880
-20,-657,1429
-78,-306,1159
-121,-89,1141
-132,-81,1226
-126,-100,1266
-415,210,985
-600,-57,-301
-321,-183,80
-232,23,679
-186,358,1044
-155,150,1544
-127,-300,1898
-324,-566,2125
-226,-429,1852
-67,-340,1395
-16,-201,1435
-15,-120,1390
-151,99,1147
-435,383,771
-284,828,175
-146,418,-195
51,302,399
10,216,1423
-62,-644,1888
-103,-1164,1806
-61,-808,1752
152,-129,1243
2,348,1122
-539,916,1013
-708,907,661
-639,314,263
-267,80,365
-54,90,496
-26,-384,1270
-434,-1093,2114
