acc_x,acc_y,acc_z,prediction
0,-17,994,0.000000
0,-18,995,0.000000
0,-18,997,0.000000
0,-17,998,0.000000
0,-17,995,0.000000
0,-18,994,0.000000
0,-18,996,0.000000
-1,-18,996,0.000000
0,-16,996,0.000000
0,-18,996,0.000000
0,-18,995,0.000000
-1,-17,996,0.000000
0,-18,995,0.000000
0,-18,995,0.000000
0,-17,995,0.000000
0,-18,996,0.000000
0,-17,996,0.000000
1,-17,995,0.000000
2,-16,1000,0.000000
339,-85,996,0.000000
237,-20,995,0.000000
-144,28,995,0.000000
-371,-65,980,0.000000
73,-95,1007,0.000000
24,-19,990,0.000000
39,-20,994,0.000000
63,-11,1015,0.000000
7,-24,993,0.000000
-9,-25,976,0.000000
24,-28,1004,0.000000
23,1,1002,0.000000
-2,-16,991,0.000000
4,22,1002,0.000000
18,55,991,0.000000
-73,48,995,0.000000
-121,45,985,0.000000
13,-34,1011,0.000000
27,-37,993,0.000000
-101,37,994,0.000000
-45,23,989,0.000000
-10,-37,1000,0.000000
-6,-43,991,0.000000
0,-43,997,0.000000
5,-46,996,0.000000
0,-23,995,0.000000
-165,56,988,0.000000
-227,59,970,0.000000
774,-239,1042,0.000000
91,-97,972,0.000000
-59,-150,1001,0.000000
-70,-103,995,0.000000
-62,-47,992,0.000000
7,-75,1005,0.000000
129,-60,995,0.050602
95,-101,988,0.000000
-10,-198,997,0.000000
-43,-175,1003,0.000000
-2,-49,988,0.000000
71,55,974,0.000000
70,77,1019,0.341563
-16,38,1011,0.000000
-82,28,985,0.000000
-116,50,1000,0.000000
-34,50,985,0.198191
11,57,1001,0.000000
5,64,991,0.000000
-75,18,994,0.000000
-172,-31,990,0.000000
-236,-37,1009,0.000000
-181,-19,983,0.151806
14,29,991,0.000000
61,90,998,0.000000
-25,241,1012,0.000000
200,115,988,0.080120
15,54,995,0.000000
393,70,1001,0.000000
-12,61,998,0.000000
-393,0,984,0.000000
-341,-46,1011,0.000000
-9,75,991,0.000000
89,133,1005,0.004217
407,5,999,0.000000
246,-249,975,0.008434
0,-270,1010,0.004217
28,-224,995,0.000000
-108,-382,988,0.000000
-59,-119,993,0.000000
-199,142,989,0.780112
0,6,1007,0.000000
81,-16,988,0.000000
15,157,1009,0.029518
58,133,984,0.134938
48,169,995,0.042168
74,175,987,0.000000
288,210,1012,0.269877
435,29,1009,0.000000
-92,-83,981,0.088553
-485,-178,1019,0.071686
-97,-75,989,0.000000
-34,-64,984,0.000000
126,-112,1000,0.000000
139,218,973,0.248792
105,-138,1018,0.181323
146,21,1057,0.000000
59,114,1122,0.000000
-33,0,1057,0.000000
-181,-56,1148,0.000000
-288,-44,1116,0.000000
-181,20,1132,0.004217
-226,-51,1153,0.000000
-59,-151,1106,0.000000
51,-214,1050,0.130721
-57,-51,914,0.050602
-156,441,830,0.000000
-27,-6,978,0.096987
-67,8,1036,0.139155
-113,-18,1059,0.210841
-151,-32,1092,0.000000
-198,-29,1129,0.000000
59,-13,1190,0.000000
38,-81,1088,0.286744
167,-141,963,0.000000
254,-147,873,0.000000
224,-188,883,0.000000
157,-160,876,0.000000
119,-102,893,0.000000
85,-48,899,0.000000
42,-18,894,0.189757
-16,-9,894,0.000000
-11,1,951,0.000000
-6,-14,1014,0.008434
-20,14,1066,0.000000
-26,39,1093,0.000000
-18,43,1065,0.033735
-2,41,992,0.000000
15,38,970,0.029518
3,23,948,0.000000
-1,36,945,0.134938
-37,104,956,0.000000
-38,129,939,0.000000
21,81,971,0.000000
-17,133,947,0.000000
-23,120,964,0.118071
-19,142,961,0.000000
7,219,901,0.000000
15,325,872,0.000000
55,402,894,0.000000
53,406,864,0.000000
98,400,914,0.000000
96,420,940,0.000000
79,487,893,0.000000
105,554,805,0.000000
132,612,781,0.000000
138,549,789,0.000000
147,572,845,0.000000
153,591,885,0.000000
68,563,820,0.000000
51,631,729,0.000000
195,603,738,0.000000
139,678,695,0.000000
57,658,677,0.059036
86,632,722,0.000000
104,648,756,0.000000
106,672,724,0.000000
123,623,747,0.000000
97,649,764,0.000000
96,661,799,0.000000
118,685,756,0.000000
153,657,783,0.029518
164,605,868,0.147589
58,640,703,0.189757
4,687,511,0.000000
134,768,605,0.000000
113,856,737,0.000000
162,689,804,0.113854
80,608,783,0.000000
130,594,765,0.000000
157,565,763,0.000000
124,563,777,0.000000
152,553,840,0.000000
124,522,852,0.000000
91,506,851,0.156022
74,474,882,0.000000
55,478,898,0.000000
64,457,940,0.096987
53,437,933,0.075903
26,447,935,0.004217
107,369,965,0.000000
40,343,985,0.000000
50,279,1069,0.000000
47,317,1061,0.008434
97,334,1028,0.000000
95,252,957,0.000000
60,127,941,0.004217
105,128,1000,0.000000
156,134,1033,0.000000
175,98,1021,0.012650
158,13,992,0.000000
120,-104,924,0.000000
141,-140,886,0.000000
204,-116,950,0.134938
244,-91,994,0.000000
258,-111,975,0.000000
219,-212,914,0.000000
