acc_x,acc_y,acc_z,lr_vel,lr_dir,ud_vel,ud_dir
3,-17,998,,,,
4,-15,981,,,,
0,-14,987,,,,
10,-17,996,,,,
9,-15,1003,,,,
5,-12,1000,,,,
9,-15,999,,,,
10,-16,993,,,,
4,-14,986,,,,
7,-17,995,,,,
4,-14,995,,,,
9,-15,1001,,,,
2,-15,1003,,,,
5,-15,992,,,,
5,-20,988,,,,
4,-15,997,,,,
6,-13,988,,,,
8,-16,996,,,,
10,-15,996,,,,
3,-15,1001,,,,
8,-16,1002,,,,
5,-10,998,,,,
8,-15,991,,,,
0,-13,995,,,,
6,-16,984,,,,
3,-15,995,,,,
7,-16,987,,,,
1,-16,996,,,,
2,-14,1001,,,,
5,-13,1002,,,,
9,-13,998,,,,
3,-17,991,,,,
3,-14,987,,,,
7,-13,991,,,,
6,-15,996,,,,
3,-15,1002,,,,
6,-14,997,,,,
3,-13,994,,,,
9,-17,996,,,,
5,-15,995,,,,
10,-15,996,,,,
10,-13,996,,,,
7,-14,1001,,,,
7,-19,999,,,,
7,-15,999,,,,
8,-15,994,,,,
6,-14,988,,,,
4,-14,992,,,,
8,-16,992,,,,
5,-15,995,,,,
5,-14,996,,,,
5,-14,1000,,,,
6,-15,995,,,,
3,-17,997,,,,
5,-14,992,,,,
6,-15,995,,,,
7,-15,994,,,,
5,-15,994,,,,
4,-17,995,,,,
6,-15,1000,,,,
8,-13,994,,,,
8,-15,997,,,,
6,-15,995,,,,
2,-13,994,,,,
7,-13,995,,,,
9,-15,995,,,,
8,-16,997,,,,
5,-11,995,,,,
10,-14,997,,,,
7,-15,996,,,,
9,-11,996,,,,
4,-13,995,,,,
7,-15,996,,,,
4,-14,994,,,,
5,-17,997,,,,
7,-16,997,,,,
5,-15,1001,,,,
6,-13,996,,,,
8,-16,996,,,,
9,-17,991,,,,
7,-12,994,,,,
7,-14,994,,,,
2,-10,994,,,,
5,-15,997,,,,
6,-16,1000,,,,
8,-15,999,,,,
8,-18,998,,,,
6,-16,999,,,,
7,-14,997,,,,
7,-14,997,,,,
5,-12,997,,,,
5,-15,996,,,,
6,-17,996,,,,
1,-15,993,,,,
5,-15,992,,,,
5,-15,994,,,,
6,-13,990,,,,
6,-16,989,,,,
8,-14,995,,,,
8,-16,1003,,,,
7,-17,1001,,,,
4,-14,1002,,,,
5,-13,994,,,,
8,-15,992,,,,
6,-15,989,,,,
9,-13,990,,,,
6,-13,995,,,,
10,-11,989,,,,
5,-14,986,,,,
7,-14,998,,,,
11,-15,998,,,,
8,-14,1003,,,,
4,-16,995,,,,
6,-18,992,,,,
9,-16,994,,,,
4,-13,995,,,,
4,-14,991,,,,
4,-14,998,,,,
2,-16,998,,,,
7,-12,995,,,,
4,-15,995,,,,
6,-15,994,,,,
3,-14,998,,,,
6,-17,997,,,,
4,-12,996,,,,
9,-12,995,,,,
7,-10,997,,,,
3,-13,997,,,,
4,-16,994,,,,
5,-15,998,,,,
7,-17,997,,,,
5,-16,995,,,,
7,-19,996,,,,
7,-17,994,,,,
5,-15,995,,,,
5,-15,989,,,,
8,-17,998,,,,
2,-18,997,,,,
7,-16,995,,,,
6,-15,996,,,,
10,-17,995,,,,
4,-15,997,,,,
4,-19,1001,,,,
6,-14,997,,,,
8,-15,997,,,,
6,-16,988,,,,
5,-13,986,,,,
8,-15,994,,,,
6,-13,1000,,,,
8,-16,1009,,,,
9,-18,1003,,,,
6,-13,994,,,,
8,-15,987,,,,
5,-15,990,,,,
6,-14,995,,,,
8,-16,996,,,,
2,-15,994,,,,
7,-16,1001,,,,
10,-11,992,,,,
7,-13,1002,,,,
9,-15,1001,,,,
5,-15,993,,,,
5,-15,991,,,,
6,-13,986,,,,
5,-12,994,,,,
4,-14,998,,,,
7,-14,1000,,,,
3,-15,1005,,,,
7,-16,995,,,,
6,-17,996,,,,
3,-17,991,,,,
10,-17,1000,,,,
5,-16,995,,,,
7,-16,999,,,,
8,-13,997,,,,
5,-18,994,,,,
5,-15,994,,,,
7,-13,995,,,,
7,-14,998,,,,
3,-17,997,,,,
5,-14,1002,,,,
5,-15,1002,,,,
8,-12,997,,,,
7,-17,995,,,,
6,-13,992,,,,
12,-15,995,,,,
8,-11,997,,,,
4,-16,994,,,,
4,-14,996,,,,
9,-14,993,,,,
4,-16,996,,,,
7,-11,996,,,,
5,-15,998,,,,
6,-15,1001,,,,
5,-14,994,,,,
4,-14,1000,,,,
5,-15,992,,,,
3,-15,996,,,,
8,-14,995,,,,
6,-15,992,,,,
8,-13,1001,,,,
8,-15,995,,,,
3,-15,998,,,,
8,-14,993,,,,
4,-17,1000,,,,
7,-17,995,,,,
1,-18,996,,,,
4,-14,993,,,,
10,-14,995,,,,
4,-16,1000,,,,
7,-16,1003,,,,
6,-15,999,,,,
2,-17,998,,,,
8,-13,994,,,,
5,-14,991,,,,
7,-15,996,,,,
5,-16,994,,,,
5,-13,999,,,,
7,-17,1000,,,,
4,-14,993,,,,
4,-16,1001,,,,
7,-14,993,,,,
6,-13,996,,,,
2,-13,1000,,,,
7,-16,995,,,,
3,-14,994,,,,
4,-15,990,,,,
5,-14,995,,,,
5,-15,1001,,,,
6,-13,998,,,,
8,-15,995,,,,
5,-16,995,,,,
4,-16,997,,,,
8,-16,996,,,,
1,-17,1000,,,,
5,-19,998,,,,
6,-15,995,,,,
7,-15,996,,,,
10,-17,995,,,,
8,-17,996,,,,
6,-16,997,,,,
8,-16,993,,,,
6,-13,998,,,,
6,-16,995,,,,
4,-15,1001,,,,
8,-11,995,,,,
4,-13,996,,,,
6,-14,996,,,,
9,-13,997,,,,
7,-8,996,,,,
4,-13,994,,,,
5,-16,998,,,,
5,-12,998,,,,
2,-14,996,,,,
4,-13,997,,,,
6,-14,999,,,,
8,-13,996,,,,
7,-17,998,,,,
4,-17,994,,,,
10,-17,996,,,,
3,-15,995,,,,
7,-14,995,,,,
8,-16,994,,,,
7,-14,1000,,,,
6,-15,997,,,,
6,-16,998,,,,
8,-14,994,,,,
4,-15,996,,,,
5,-17,995,,,,
10,-13,997,,,,
5,-16,996,,,,
3,-13,997,,,,
6,-16,999,,,,
2,-12,993,,,,
7,-18,996,,,,
6,-13,999,,,,
6,-15,997,,,,
6,-16,1000,,,,
6,-16,996,,,,
7,-14,996,,,,
3,-11,995,,,,
5,-13,995,,,,
3,-14,997,,,,
5,-16,996,,,,
3,-15,997,,,,
5,-12,997,,,,
3,-19,997,,,,
8,-14,999,,,,
5,-12,996,,,,
3,-16,994,,,,
8,-17,1000,,,,
5,-15,996,,,,
7,-12,994,,,,
3,-16,995,,,,
9,-15,994,,,,
4,-17,995,,,,
10,-12,996,,,,
6,-16,998,,,,
6,-15,999,,,,
7,-16,998,,,,
6,-14,996,,,,
6,-13,999,,,,
5,-18,999,,,,
6,-14,997,,,,
6,-14,996,,,,
5,-16,995,,,,
9,-15,1000,,,,
5,-19,993,,,,
6,-16,995,,,,
6,-14,994,,,,
4,-14,996,,,,
7,-14,996,,,,
5,-19,994,,,,
5,-12,996,,,,
5,-14,998,,,,
5,-14,996,,,,
6,-15,998,,,,
5,-13,996,,,,
5,-15,996,,,,
8,-17,994,,,,
6,-15,991,,,,
6,-15,999,,,,
6,-15,997,,,,
8,-13,997,,,,
5,-12,996,,,,
4,-17,996,,,,
6,-15,1002,,,,
7,-12,999,,,,
7,-15,1001,,,,
6,-16,999,,,,
7,-15,997,,,,
5,-12,1001,,,,
9,-15,996,,,,
5,-11,996,,,,
5,-15,999,,,,
8,-18,997,,,,
5,-16,996,,,,
5,-13,996,,,,
8,-14,996,,,,
5,-16,991,,,,
7,-14,1000,,,,
6,-16,998,,,,
5,-16,996,,,,
2,-14,996,,,,
6,-16,994,,,,
6,-18,1001,,,,
6,-15,995,,,,
4,-19,991,,,,
5,-13,1004,,,,
1,-15,989,,,,
9,-15,1005,,,,
2,-19,997,,,,
2,-14,994,,,,
6,-17,992,,,,
11,-13,1010,,,,
-4,-16,990,,,,
2,-18,996,,,,
17,-8,998,,,,
-1,-15,989,,,,
16,-15,1003,,,,
-3,-15,991,,,,
16,-15,1000,,,,
-9,-12,988,,,,
0,-14,1004,,,,
-44,-26,991,,,,
-211,-29,875,,,,
-191,-40,1100,,,,
-237,-37,931,,,,
-223,-29,1065,,,,
-219,-29,957,,,,
-162,-22,1051,,,,
-141,-10,978,,,,
-86,-2,1050,,,,
-36,0,1026,,,,
-6,0,1001,,,,
17,-8,1050,,,,
78,-6,1030,,,,
65,-6,839,,,,
48,-14,963,,,,
47,-20,931,,,,
43,-22,1029,,,,
33,-24,1040,,,,
46,-30,1011,,,,
36,-33,933,,,,
58,-23,1057,,,,
45,-38,942,,,,
31,-48,1018,,,,
54,-30,1032,,,,
61,-29,1012,,,,
40,-34,958,,,,
37,-42,993,,,,
38,-53,982,,,,
13,-46,976,,,,
-11,-60,1016,,,,
-17,-66,984,,,,
-39,-65,1014,,,,
-31,-61,1030,,,,
-53,-64,959,,,,
-50,-56,1080,,,,
-65,-62,914,,,,
-69,-62,935,,,,
-62,-62,1107,,,,
-80,-86,900,,,,
-58,-82,1134,,,,
-49,-92,889,,,,
-24,-79,1010,,,,
-26,-81,950,,,,
-17,-66,1045,,,,
-5,-58,918,,,,
5,-38,1033,,,,
0,-29,859,,,,
0,-20,923,,,,
-7,-19,988,,,,
-7,-8,986,,,,
-8,2,946,,,,
-26,42,949,,,,
25,82,1013,,,,
19,96,841,,,,
88,114,1109,,,,
